"Concatenated","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"CT01HT","Commercial","Transport","Airfield / Airstrip / Airport / Air Transport Infrastructure Facility","Heliport / Helipad"
"CT02","Commercial","Transport","Bus Shelter",""
"CT03","Commercial","Transport","Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site ",""
"CT03PK","Commercial","Transport","Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site ","Public Park And Ride"
"CT03PP","Commercial","Transport","Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site ","Public Car Parking"
"CT03PU","Commercial","Transport","Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site ","Public Coach Parking"
"CT03VP","Commercial","Transport","Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site ","Public Commercial Vehicle Parking"
"CT04","Commercial","Transport","Goods Freight Handling / Terminal",""
"CT04AE","Commercial","Transport","Goods Freight Handling / Terminal","Air Freight Terminal"
"CT04CF","Commercial","Transport","Goods Freight Handling / Terminal","Container Freight"
"CT04RH","Commercial","Transport","Goods Freight Handling / Terminal","Road Freight Transport"
"CT04RT","Commercial","Transport","Goods Freight Handling / Terminal","Rail Freight Transport"
"CT05","Commercial","Transport","Marina",""
"CT06","Commercial","Transport","Mooring",""
"CT07","Commercial","Transport","Railway Asset",""
"CT08","Commercial","Transport","Station / Interchange / Terminal / Halt",""
"CT08BC","Commercial","Transport","Station / Interchange / Terminal / Halt","Bus / Coach Station"
"CT08RS","Commercial","Transport","Station / Interchange / Terminal / Halt","Railway Station"
"CT08VH","Commercial","Transport","Station / Interchange / Terminal / Halt","Vehicular Rail Terminal"
"CT09","Commercial","Transport","Transport Track / Way",""
"CT09CL","Commercial","Transport","Transport Track / Way","Cliff Railway"
"CT09CX","Commercial","Transport","Transport Track / Way","Chair Lift / Cable Car / Ski Tow"
"CT09MO","Commercial","Transport","Transport Track / Way","Monorail"
"CT10","Commercial","Transport","Vehicle Storage",""
"CT10BG","Commercial","Transport","Vehicle Storage","Boat Storage"
"CT10BU","Commercial","Transport","Vehicle Storage","Bus / Coach Depot"
"CT11","Commercial","Transport","Transport Related Infrastructure",""
"CT11AD","Commercial","Transport","Transport Related Infrastructure","Aqueduct"
"CT11LK","Commercial","Transport","Transport Related Infrastructure","Lock"
"CT11WE","Commercial","Transport","Transport Related Infrastructure","Weir"
"CT11WG","Commercial","Transport","Transport Related Infrastructure","Weighbridge / Load Gauge"
"CT12","Commercial","Transport","Overnight Lorry Park",""
"CT13","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay",""
"CT13FR","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Passenger Ferry Terminal"
"CT13NB","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Non-Tanker Nautical Berthing"
"CT13NF","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Nautical Refuelling Facility"
"CT13SA","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Slipway"
"CT13SP","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Ship Passenger Terminal"
"CT13TK","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Tanker Berthing"
"CT13VF","Commercial","Transport","Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay","Vehicular Ferry Terminal"
"CU","Commercial","Utility","",""
"CU01","Commercial","Utility","Electricity Sub-Station",""
"CU02","Commercial","Utility","Landfill",""
"CU03","Commercial","Utility","Power Station / Energy Production",""
"CU03ED","Commercial","Utility","Power Station / Energy Production","Electricity Distribution Facility"
"CU03EP","Commercial","Utility","Power Station / Energy Production","Electricity Production Facility"
"CU03WF","Commercial","Utility","Power Station / Energy Production","Wind Farm"
"CU03WU","Commercial","Utility","Power Station / Energy Production","Wind Turbine"
"CU04","Commercial","Utility","Pump House / Pumping Station / Water Tower",""
"CU04WC","Commercial","Utility","Pump House / Pumping Station / Water Tower","Water Controlling / Pumping"
"CU04WD","Commercial","Utility","Pump House / Pumping Station / Water Tower","Water Distribution / Pumping"
"CU04WM","Commercial","Utility","Pump House / Pumping Station / Water Tower","Water Quality Monitoring"
"CU04WS","Commercial","Utility","Pump House / Pumping Station / Water Tower","Water Storage"
"CU04WW","Commercial","Utility","Pump House / Pumping Station / Water Tower","Waste Water Distribution / Pumping"
"CU06","Commercial","Utility","Telecommunication ",""
"CU06TE","Commercial","Utility","Telecommunication ","Telecommunications Mast"
"CU06TX","Commercial","Utility","Telecommunication ","Telephone Exchange"
"CU07","Commercial","Utility","Water / Waste Water / Sewage Treatment Works",""
"CU07WR","Commercial","Utility","Water / Waste Water / Sewage Treatment Works","Waste Water Treatment"
"CU07WT","Commercial","Utility","Water / Waste Water / Sewage Treatment Works","Water Treatment"
"CU08","Commercial","Utility","Gas / Oil Storage / Distribution",""
