"Concatenated","Class_Desc","Primary_Code","Secondary_Code","Tertiary_Code","Quaternary_Code","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"CL06LS","Activity / Leisure / Sports Centre","C","L","06","LS","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Activity / Leisure / Sports Centre"
"CL06ME","Model Sports Facility","C","L","06","ME","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Model Sports Facility"
"CL06MF","Motor Sports Facility","C","L","06","MF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Motor Sports Facility"
"CL06PF","Playing Field","C","L","06","PF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Playing Field"
"CL06QS","Racquet Sports Facility","C","L","06","QS","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Racquet Sports Facility"
"CL06RF","Rugby Facility","C","L","06","RF","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Rugby Facility"
"CL06RG","Recreation Ground","C","L","06","RG","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Recreation Ground"
"CL06SI","Shinty Facility","C","L","06","SI","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Shinty Facility"
"CL06SK","Skateboarding Facility","C","L","06","SK","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Skateboarding Facility"
"CL06SX","Civilian Firing Facility","C","L","06","SX","Commercial","Leisure - Applicable to recreational sites and enterprises","Indoor / Outdoor Leisure / Sporting Activity / Centre","Civilian Firing Facility"
